376217,Berlin,location,52.52437,13.41053
448103,Berlingo,location,45.50298,10.04366
425332,Berlingerode,location,51.45775,10.2384
425326,Bernau bei Berlin,location,52.67982,13.58708
314827,Berlin Sch̦nefeld,airport,52.3887261,13.5180874
314826,Berlin Tegel,airport,52.5548,13.28903
376946,Munich,location,48.13743,11.57549
313870,Munich,airport,48.354597,11.785065
376460,Frankfurt am Main,location,50.11552,8.68417
413567,Frankfurt (Oder),location,52.34714,14.55062
314847,Frankfurt,airport,50.05009,8.57155
